Name	CUTOS	CUTOT	CUTOU	CUTOW	CUTOX	CWYAU
Pp3c2_14390V3.3	3.55908	1.56285	1.03142	1.78219	2.1842	1.03917
Pp3c5_19520V3.4	25.2469	49.7235	29.7349	17.8189	22.8461	119.242
Pp3c18_3250V3.1	0.36793	0.361718	0.078697	0.434773	0.317997	0.115902
Pp3c5_21140V3.2	0.776685	0.648256	0.609931	0.340634	0.208403	0.249534
jgi|MorGBAus27b_1|425918|fgenesh1_pg.12_#_44	0.006165	0.014432	0.094094	0	0	0.079584
Pp3c5_22560V3.1	23.3278	19.9292	49.0212	45.0187	85.1805	46.5395
Pp3c5_11220V3.4	0	0	0	0	0	3.03911
Pp3c5_24050V3.2	0	0	0	2.53305	0	2.39466
Pp3c5_11160V3.1	4.17265	4.26954	4.68089	4.89354	3.31474	2.70162
Pp3c5_29040V3.1	0	0	0	0	0	0
Pp3c5_9870V3.1	16.7522	19.2159	18.9839	15.3892	14.2692	9.8625
Pp3c3_27750V3.1	3.36681	2.11995	3.13381	5.96349	7.53765	2.4955
Pp3c5_22730V3.3	0.752874	0.940109	0.093832	0.482603	0.45269	0
Pp3c8_18470V3.1	6.54292	6.28639	7.19029	4.84872	5.92245	3.50535
Pp3c17_15250V3.1	4.71057	4.11267	3.29507	1.1846	1.8493	2.15579
Pp3c5_1040V3.1	4.64156	4.39809	5.30328	6.6236	4.94355	3.08959
Pp3c2_29600V3.1	860.842	838.615	926.151	870.824	1059.52	1043.06
Pp3c7_23660V3.1	5.41244	5.51196	4.04223	4.54347	4.56093	0.3419
jgi|MorGBAus27b_1|465310|fgenesh1_kg.40_#_262_#_TRINITY_DN6657_c3_g1_i3	0	0.013023	0.010583	0	0	0.067095
Pp3c5_26001V3.1	0	0	0.156242	0.848093	0.446023	0.120091
Pp3c5_5240V3.1	2.90394	2.40109	2.83867	4.05363	4.1178	1.30792
Pp3c17_9940V3.1	5.96858	3.89179	4.51123	8.09323	6.20068	1.36606
Pp3c10_4130V3.16	0	0	0	0	0	0
Pp3c17_16140V3.1	29.4442	42.2462	24.2652	38.473	24.487	97.6336
Pp3c14_5750V3.3	7.35683	3.7946	5.02316	3.93137	2.44652	3.08714
jgi|MorGBAus27b_1|47763|CE47762_865	0	0	0.12158	0	0	0.218928
Pp3c5_19280V3.1	0	0	0	0	0	0
Pp3c5_11450V3.1	0.036482	0.134039	0	0	0	0.071082
jgi|MorGBAus27b_1|403155|estExt_Genewise1.C_170212	0	0.037357	0.060185	0	0	0.051879
Pp3c5_25919V3.1	0	0	0	0	0	0
Pp3c17_16550V3.6	0	0	0	0	0	0
Pp3c16_8720V3.4	1.48598	0.860766	1.00639	1.98049	1.26865	1.01631
Pp3c5_4390V3.9	19.3188	15.793	22.7053	13.8646	13.5973	4.35323
Pp3c5_15510V3.1	10.3992	13.4337	10.9151	10.2746	10.0376	6.4981
Pp3c8_13810V3.1	0.472639	0.308663	0.131292	0	0	0
Pp3c5_17000V3.1	6.86522	6.6357	8.70164	9.0039	8.90844	4.75898
Pp3c3_17080V3.1	6.95098	6.29697	5.21575	5.87112	5.22287	2.82009
Pp3c6_1469V3.1	0	0	0	0	0	0
Pp3c5_26970V3.2	115.879	297.31	176.67	317.278	296.717	158.281
Pp3c22_14481V3.1	0.184575	0	0	0	0	0
Pp3c5_26970V3.1	17.7462	11.5364	16.3245	20.5989	21.2985	17.6783
Pp3c24_9420V3.2	9.73947	5.01344	7.54162	7.38161	5.75691	6.40317
Pp3c7_12700V3.6	0	0.035596	0	0.315837	0.178703	0.082134
Pp3c5_22460V3.1	68.6994	71.3268	63.511	59.0437	43.5137	52.7593
Pp3c5_9400V3.1	0.037603	0.137084	0.183295	0.243188	0.186967	0.135534
jgi|MorGBAus27b_1|498503|gm1.6303_g	0	0	0.004697	0	0	0.005941
Pp3c5_4945V3.1	0	0	0	0.67755	0.26154	0
Pp3c1_33120V3.2	10.2841	7.60337	9.27403	8.57715	8.4875	0.873456
Pp3c5_14710V3.1	22.1162	15.6758	18.0279	28.4274	21.4997	11.5054
Pp3c5_9010V3.1	1.22498	0.596683	0.902085	1.55708	1.08219	0.470118
jgi|MorGBAus27b_1|499718|gm1.7518_g	0	0	0.042816	0	0	0
Pp3c5_25080V3.1	21.7461	21.5937	23.1323	13.4532	14.6555	11.618
Pp3c8_21800V3.1	0	2.84822	0	0	4.37111	1.86503
Pp3c5_20980V3.3	0.72645	0.218246	0	2.08429	4.89628	0
Pp3c14_5260V3.1	7.79603	6.86655	6.87289	8.07284	10.1718	6.50921
jgi|MorGBAus27b_1|465819|fgenesh1_kg.42_#_173_#_TRINITY_DN660_c1_g1_i1	0	0.022185	0	0	0	0.047047
Pp3c5_27080V3.3	3.47228	2.22101	1.90023	1.60628	5.23467	2.7138
Pp3c27_2720V3.1	7.99906	7.67512	8.08917	7.20527	7.31616	7.63945
Pp3c5_12770V3.2	0	0	0	0.668662	0	0
Pp3c7_560V3.3	0.554727	0.298396	0.871779	1.15015	0.923217	0
Pp3c5_23400V3.1	11.5856	0	18.2537	23.7065	40.6173	27.4981
Pp3c14_26310V3.1	0	0	0	0	0	0
jgi|MorGBAus27b_1|435894|fgenesh1_kg.2_#_1234_#_TRINITY_DN376_c0_g1_i1	0	0	0	0	0	0
Pp3c5_7340V3.1	0.626221	0.466225	1.23353	1.23528	1.73972	1.01921
Pp3c19_5200V3.4	0	0	0	2.32242	0	1.41317
Pp3c5_20240V3.1	10.1219	10.0399	10.9333	9.57732	9.94218	4.71325
Pp3c3_30330V3.1	59.2386	47.1471	55.7305	97.4799	70.8467	38.279
Pp3c5_7630V3.5	8.55334	2.09393	6.33496	3.06924	2.33602	0
Pp3c14_13670V3.1	0	0	0	0	0	0
Pp3c5_23070V3.1	100.563	99.3585	132.02	151.458	106.816	103.317
Pp3c5_6200V3.1	2.68004	2.45565	3.09703	3.53133	2.11209	1.60976
Pp3c15_16330V3.2	0	0	0	0	0	0
Pp3c5_14630V3.1	3.64071	3.8474	3.3101	1.72467	1.78995	1.99837
Pp3c5_24140V3.3	0	0	0	0	0	0
Pp3c5_24140V3.1	0	0	0.074029	0	0	0
Pp3c17_2150V3.1	13.0662	12.2991	14.0144	16.0653	14.3289	6.05608
Pp3c18_9360V3.1	3.49739	4.01944	4.47342	3.46741	3.5252	2.48225
Pp3c5_10600V3.1	0	0.901949	0	0	0	0.352514
Pp3c5_10600V3.2	0.973112	0.22261	1.10724	0.901165	0.823302	0.052069
Pp3c23_16320V3.1	5.64405	5.81068	5.42958	5.43732	5.27792	3.15556
Pp3c5_19870V3.10	0.081835	0	0	0	0	0.109126
Pp3c14_8460V3.1	49.013	59.4472	33.1809	13.4269	16.9465	14.816
Pp3c6_520V3.1	6.43339	3.58484	5.95781	2.91501	11.7693	5.13579
Pp3c6_22830V3.1	0.766483	1.92315	2.19689	1.92172	2.16817	0.540437
Pp3c5_6760V3.1	4.08124	4.3023	5.77405	16.033	6.16282	1.40279
Pp3c5_15180V3.1	0	0	0	0	0	0
Pp3c24_7760V3.1	0.157398	0.362491	0.394854	0	0.864843	0.208237
Pp3c5_15180V3.4	1.63611	0	1.36388	1.53157	0.298246	0.831258
jgi|MorGBAus27b_1|526612|estExt_Genemark1.C_60042	0.017259	0.046665	0.088663	0.007346	0	0.127923
Pp3c5_20690V3.3	5.06032	4.43698	0	17.5775	19.0157	4.25295
Pp3c10_15380V3.1	49.4098	37.3979	39.8492	39.6175	24.7385	22.7132
jgi|MorGBAus27b_1|425298|fgenesh1_pg.10_#_16	0	0.118167	0.417815	0	0	0.444577
Pp3c5_1290V3.3	0.123934	0.074512	0	0.093277	0	0.050132
Pp3c5_810V3.1	0.702565	1.12742	1.00853	1.18963	1.32908	1.3572
Pp3c2_23900V3.1	0.267009	0.088493	0.311238	0.52539	0.748245	0.297098
Pp3c5_15970V3.1	0	0	0	0	0	0
Pp3c5_9840V3.4	4.27046	3.86354	4.35855	5.55022	4.61748	1.87038
Pp3c5_16770V3.1	38.125	36.8273	36.0649	42.922	39.2247	23.851
Pp3c20_5029V3.1	0	0	0	0	0	0
Pp3c5_15100V3.2	0	0	0	0	0	0
Pp3c5_11190V3.1	0	0	0	0	0	0
Pp3c21_2370V3.3	2.97785	0	4.26592	0	0	7.6507
Pp3c5_5590V3.2	1.03208	1.12155	1.37579	0.366161	3.10418	3.98607
Pp3c3_1270V3.1	14.6392	15.1012	18.961	9.21369	9.63451	12.1364
Pp3c5_3140V3.1	8.05359	4.91229	7.38219	11.1955	10.2813	4.356
Pp3c1_11740V3.1	0	0	0	0	0	0
Pp3c5_2308V3.1	0.590709	0	0	0.203704	0	0.299654
Pp3c5_19240V3.1	0.065343	0	0	0.053927	0.035859	0.022415
Pp3c7_17910V3.1	0	0	0	0	0	0
Pp3c4_14730V3.2	0	0	0	0	0	0
Pp3c5_8650V3.2	0	0	0	0	0	0
Pp3c8_12860V3.1	0	0.077242	0	0	0	0
Pp3c5_18332V3.1	0	0	0	0.326187	0.159756	0
Pp3c5_3340V3.1	19.6394	11.1973	27.4059	15.8485	12.0496	4.14866
jgi|MorGBAus27b_1|466802|fgenesh1_kg.46_#_156_#_TRINITY_DN1013_c0_g2_i1	0	0.008047	0	0	0	0
Pp3c5_3340V3.2	8.74066	19.4137	10.4476	10.5212	18.5996	13.0964
Pp3c21_7260V3.1	0	0	0	0	0	0
Pp3c20_11610V3.1	5.2775	7.59728	6.0138	2.59327	0.650857	3.94287
Pp3c1_38710V3.1	0.235722	0.08214	0	0.061799	0.092241	0.262667
Pp3c5_10320V3.2	4.57896	6.66931	5.30318	7.43631	8.7584	2.05705
Pp3c5_26280V3.1	5.2672	5.78698	5.60599	4.62743	5.391	1.33889
Pp3c5_4630V3.1	0	0	0	0	0	0
Pp3c5_8360V3.1	0.192901	0.030799	0.231327	0.19573	0.162578	0.105673
Pp3c5_1840V3.1	7.08851	11.35	6.61298	8.14816	9.60202	5.99308
jgi|MorGBAus27b_1|84176|CE84175_208	0.018535	0.291502	0.615266	0	0.019655	0.40197
Pp3c22_12970V3.2	0	0	0	0	0.053814	0.009409
Pp3c1_10810V3.1	23.2686	23.0392	23.8159	23.1631	21.0399	18.3876
Pp3c5_1180V3.2	0	0	0.049956	0	0	0
Pp3c5_1180V3.1	0	0	0	0	0	0
Pp3c15_25010V3.1	4.00543	3.54765	4.75828	4.40972	4.31222	1.38254
Pp3c5_25710V3.1	4.90667	3.30042	3.77917	4.51763	4.90844	0.396563
Pp3c21_9420V3.9	1.69595	0	2.40636	0	0	0
Pp3c5_19490V3.6	5.79448	7.49765	3.77002	5.21471	0	4.95767
Pp3c10_3000V3.1	2.13927	2.21658	1.43921	2.11231	3.03805	0.293681
Pp3c5_19490V3.1	0	0	4.11587	5.08583	8.47171	0
Pp3c5_28149V3.1	0.198975	1.28779	0.275106	0.824529	0.450854	0.970842
Pp3c3_8250V3.1	4.36883	3.80877	4.24574	5.96056	5.62065	2.10289
Pp3c5_17830V3.1	0	0.200032	0.071346	0	0.352963	0
Pp3c22_15610V3.1	9.41322	11.2755	13.2369	7.63233	5.80933	10.11
Pp3c10_13280V3.1	53.748	70.5739	47.9705	4.71441	3.49841	43.0775
jgi|MorGBAus27b_1|426141|fgenesh1_pg.12_#_267	0	0.088394	0.03401	0	0	0.146554
Pp3c12_11700V3.6	0	0	0	0	0	0
Pp3c5_12050V3.2	0	0	0	0	0	0
Pp3c5_13310V3.1	17.5908	15.303	15.486	18.8403	19.4772	2.36135
jgi|MorGBAus27b_1|434414|fgenesh1_kg.1_#_2264_#_TRINITY_DN570_c0_g2_i1	0	0.453094	0.163982	0	0	1.1753
Pp3c5_611V3.1	0	0	0	0	0	0
Pp3c21_6110V3.1	0	0	0	0	0	0
Pp3c15_14490V3.1	0	0	0	0	0.02425	0
Pp3c5_2820V3.1	0	0	0	0	0	0
Pp3c5_5310V3.1	0.098847	0.097936	0.123245	0.164151	0.311094	0.052817
Pp3c5_5340V3.1	7.10165	5.30183	6.97642	5.0937	3.34323	4.26854
Pp3c5_17290V3.1	1019.25	762.469	1037.85	1859.47	1855.84	1308.84
Pp3c5_3070V3.1	26.9307	25.3681	27.4881	28.198	30.4755	15.911
Pp3c26_14731V3.1	0	0	0	0	0.184287	0.134028
Pp3c14_6190V3.1	10.3456	8.4609	11.0405	18.5964	21.1768	6.88752
Pp3c7_10610V3.5	0	0	0	0	0	0
Pp3c5_20870V3.1	20.4585	25.348	22.5683	31.8529	35.7983	18.6709
