Name	CUTON	CUTOO	CUTOP
Pp3c16_20040V3.1	2.62899	3.033	4.07488
Pp3c16_7540V3.1	10.1789	6.35792	7.78431
Pp3c16_1740V3.1	0.724988	0.599261	1.10492
Pp3c16_20450V3.1	0	0	0
Pp3c16_2730V3.1	23.3232	24.6485	23.1208
Pp3c16_6921V3.1	1.70689	0.926742	2.22996
Pp3c16_17470V3.1	44.57	54.7707	55.4619
Pp3c16_19200V3.3	6.46338	4.42634	2.52525
Pp3c16_24050V3.1	0.99689	1.09787	0.256744
Pp3c16_18150V3.1	0	0	0
Pp3c16_23250V3.1	402.663	433.559	704.423
Pp3c16_18400V3.1	0.210025	0.204373	0.12747
Pp3c16_4669V3.1	4.69931	4.07395	3.7031
Pp3c16_13520V3.1	0	0	0
Pp3c16_15634V3.1	0.459779	0	0
Pp3c16_26050V3.3	0.099785	0	0.058893
Pp3c16_26130V3.1	0	0	0
Pp3c16_24440V3.1	0	0	0
Pp3c16_1250V3.1	4.74824	3.55458	3.76524
Pp3c16_5350V3.1	13.7469	14.223	13.0883
Pp3c16_11510V3.2	0	0	0.419359
Pp3c16_11510V3.3	6.04776	4.2479	1.67213
Pp3c16_600V3.3	0	0	0
Pp3c16_600V3.1	7.29835	6.2564	6.99573
Pp3c16_23930V3.1	0	0	0
Pp3c16_3290V3.1	12.6305	10.9842	13.2915
Pp3c16_5140V3.1	0.659145	0.08549	1.09013
Pp3c16_25140V3.13	0.355512	0.22533	0.33115
Pp3c16_25140V3.11	0	0	0
Pp3c16_25140V3.2	0	0	0
Pp3c16_25140V3.7	0	0	0
Pp3c16_25140V3.12	0.344901	0.02316	0.133544
Pp3c16_25140V3.6	0	0	0
Pp3c16_25140V3.10	0	0.037492	0.346186
Pp3c16_15040V3.1	3.04983	2.33945	2.28279
Pp3c16_1408V3.1	0.34093	0.833681	0
Pp3c16_10340V3.2	0	0	2.48867
Pp3c16_8070V3.21	0	0	0
Pp3c16_8070V3.4	0	0	0
Pp3c16_8070V3.14	0.915177	0.318125	0
Pp3c16_8070V3.7	0	0	0
Pp3c16_8070V3.8	0.658956	0.859043	3.69482
Pp3c16_8070V3.23	0	0	0
Pp3c16_15210V3.1	0	0	0
Pp3c16_10920V3.1	8.1193	8.66709	8.38008
Pp3c16_19010V3.1	1.6492	1.11962	0.449792
Pp3c16_20260V3.10	0.314787	0.807179	0.036988
Pp3c16_20260V3.2	3.16614	4.66287	2.56665
Pp3c16_20290V3.1	4.00379	3.13965	2.40095
Pp3c16_22890V3.1	9.83319	8.30102	7.10961
Pp3c16_1120V3.1	0	0	0
Pp3c16_16030V3.1	0	0	0
Pp3c16_3210V3.1	6.3945	6.01062	4.2049
Pp3c16_5910V3.1	88.7996	92.9881	106.211
Pp3c16_8670V3.1	0.97737	0.768224	0.073287
Pp3c16_23710V3.1	3.38573	3.94349	3.71476
Pp3c16_3470V3.1	0	0	0
Pp3c16_3090V3.1	0	0	0
Pp3c16_15760V3.1	8.20741	5.55387	5.67798
Pp3c16_9340V3.3	0.116787	0	0.06174
Pp3c16_9340V3.1	7.65286	8.38496	6.63414
Pp3c16_2410V3.1	0	0	0
Pp3c16_22820V3.2	0	0	0
Pp3c16_22820V3.1	5.17024	5.00132	3.63439
Pp3c16_6580V3.5	0.258769	0.107714	0.286606
Pp3c16_6580V3.1	10.3977	7.00754	10.028
Pp3c16_6551V3.1	0	0	0
Pp3c16_7580V3.1	0	0	0
Pp3c16_10070V3.1	0.23727	0.454067	0
Pp3c16_11440V3.1	3.13808	3.57707	4.90707
Pp3c16_16743V3.2	0.679022	1.3201	2.00235
Pp3c16_16150V3.1	0.113541	0.258393	0.060597
Pp3c16_10810V3.1	0	0	0
Pp3c16_22480V3.1	0.694404	0.519153	0.949381
Pp3c16_14440V3.1	0.24526	0.293779	0
Pp3c16_10390V3.1	17.2056	17.2323	18.4163
Pp3c16_15400V3.1	30.0281	29.4853	17.6935
Pp3c16_25660V3.3	0	1.29278	0.853034
Pp3c16_25660V3.1	7.36099	5.52078	7.67506
Pp3c16_15480V3.1	0	0	0
Pp3c16_6910V3.1	1.4537	0.70122	1.42055
