Name	CUTOZ	CUTPA	CUTPB	CUTPC	CUTPG	CUTPH
jgi|MoeNVP64_1|51522|CE51001_11357	0	0	0	1.00625	0.687502	5.67884
jgi|MoeNVP64_1|51417|CE50896_1797	0	0	0	0.325428	0.240077	1.77879
jgi|MoeNVP64_1|51381|CE50860_12491	0	0	0	0.134556	0.153281	0.696855
jgi|MoeNVP64_1|50862|CE50341_3036	0	0	0	4.46995	2.60268	24.6607
jgi|MoeNVP64_1|50837|CE50316_1130	0	0	0	0.174384	0.056156	0.556322
jgi|MoeNVP64_1|82793|CE82272_12371	0	0	0	1.54951	0.923515	7.52604
jgi|MoeNVP64_1|50704|CE50183_2936	0	0	0	1.2907	0.30476	23.0912
jgi|MoeNVP64_1|50438|CE49917_674	0	0	0	0.050748	0.112266	0.331091
jgi|MoeNVP64_1|50333|CE49812_14684	0	0	0	0.214939	0.339376	1.05974
jgi|MoeNVP64_1|50095|CE49574_330	0	0	0	0	0	0
jgi|MoeNVP64_1|49846|CE49325_2779	0	0	0	0	0.099287	0.729541
jgi|MoeNVP64_1|49779|CE49258_932	0	0	0	0.460067	0.103431	2.22777
jgi|MoeNVP64_1|49581|CE49060_10762	0	0	0.040072	26.1768	11.6518	84.0939
jgi|MoeNVP64_1|49569|CE49048_38320	0.059733	0	0	5.60951	1.70156	20.171
jgi|MoeNVP64_1|49459|CE48938_165	0	0	0	0	0	0.10813
jgi|MoeNVP64_1|49392|CE48871_158	0	0	0	0	0	0.482893
jgi|MoeNVP64_1|49363|CE48842_184	0	0	0	0	0	0
jgi|MoeNVP64_1|49100|CE48579_70	0	0.014565	0	0.082594	0.063719	0.244199
jgi|MoeNVP64_1|4842|CE4321_24	0	0	0	0.214083	0	0.217228
jgi|MoeNVP64_1|4796|CE4275_544	0	0	0	0	0	0.224792
jgi|MoeNVP64_1|47840|CE47319_3299	0.160296	0	0	0	0.102759	7.54027
jgi|MoeNVP64_1|47772|CE47251_1081	0	0	0	2.95302	1.4531	13.9457
jgi|MoeNVP64_1|47483|CE46962_641	0	0	0	0	0	0.231128
jgi|MoeNVP64_1|47335|CE46814_47	0	0	0	0	0	0
jgi|MoeNVP64_1|47255|CE46734_884	0	0	0	0.065339	0.031267	0.058713
jgi|MoeNVP64_1|47034|CE46513_2176	0	0	0	0.198171	0.465549	1.68533
jgi|MoeNVP64_1|46897|CE46376_1254	0	0	0	0.037899	0.025951	0.351852
jgi|MoeNVP64_1|46814|CE46293_263	0	0	0	0.13855	0.121129	0.084277
jgi|MoeNVP64_1|46724|CE46203_16	0	0	0	0	0	0
jgi|MoeNVP64_1|46058|CE45537_1141	0	0	0	0	0	1.27972
jgi|MoeNVP64_1|45728|CE45207_1938	0	0	0	0.537032	0.179403	4.71098
jgi|MoeNVP64_1|4569|CE4048_5875	0	0	0	1.21154	0.472955	8.05889
jgi|MoeNVP64_1|45530|CE45009_5922	0	0	0	0.115696	0.348613	2.56244
jgi|MoeNVP64_1|45481|CE44960_341	0	0	0	1.34611	0.480849	12.3202
